,asin,title,description,category,topic_name,topic_rank,bubble_color,bubble_size
16974,B000I6ZQNC,Crunchkins &quot; Merry Christmas to Purr-Fect Friend Catnip Toy Greeting Card,"Each card design is cute, whimsical, and features an <br> irresistible sentiment. All cards measure 4-3/8...",cat,cat_5,31,0.88775,2.0
17079,B000IHAH94,Lfgd Aquastep 10W Uv Bulb,Replacement U.V. bulb for Lifegard Aquastep.,other,other_5,15,0.1457999999999999,3.0
17153,B000IPUSJU,Dog Leash Hook - Corgi Pembroke (Time for a Walk),Features a handsome silhouette of your favorite breed. This <br> classic dog leash holder is the perfect ...,other,other_2,50,0.8968499999999999,2.0
17163,B000IQFY5M,Dollshouse 100 PCS Soft Pet Cat Nail Paws Claws Caps Cats Paws Nail Covers 5 Kinds 5PCS Adhesive ...,"1,,",cat,cat_1,34,0.718,2.0
17167,B000ITSB1S,"PureAyre &ndash; All-Natural Plant-Based Home Odor Eliminator &ndash; Pure, Powerful, and ...",",PureAyre Odor Eliminator Home/General Purpose Formula is an all <br> natural and plant-based odor elimin...",cat,cat_5,45,0.5384176470588234,34.0
17193,B000IZRZ8W,Tickled Pink 1/2&quot; Adjustable H-Style Cat Harness,"CAT54342 Size: Small (9"" - 14"") Features: -Adjustable H-Style <br> Harness for Cats or Small Dogs.-Materi...",cat,cat_5,4,0.7032333333333334,6.0
17200,B000IZX1LC,"Petmate Kitty Komplete Jumbo Hooded Litter Pan and Hood, Peacock/Slate","Petmate kitty komplete features a raised back to help contain <br> litter scatter, includes Microban anti...",cat,cat_6,43,0.5096520249221183,321.0
17237,B000J2JKIC,Dogswell Happy Hips Duck Breast Dog Treats with Glucosamine &amp; Chondroitin (5 oz.),"Product Highlight(s):All-Natural, Cage-Free Chicken Breast <br> Functional BenefitsAntioxidants Glucosami...",dog,dog_3,21,0.6962333333333334,6.0
17247,B000J3AHP6,LITTLE GIANT 3-Quart Enclosed Feed Scoop,"Miller Manufacturing 154116 Enclosed Berry Blue Plastic Feed <br> Scoop 3 Quart has a durable, plastic de...",cat,cat_6,18,0.5678153846153847,13.0
17273,B000J5UEF2,21 Quart Storage Container,nan,cat,cat_5,34,0.7377499999999999,2.0
17280,B000J5XRWO,Lupine Designer H-Harness for Cats,"All Lupine products are proudly built in Conway, New Hampshire <br> and Guaranteed (Even if Chewed). Made...",cat,cat_2,13,0.6245200000000001,5.0
17329,B000JHK2VG,24&quot;H x 24&quot; 10 Panel GoGo Black Epoxy Exercise Pen w/ Door,Ten 2' panels. each pen comes with a carrying handle for easy <br> transport. guaranteed top quality!,dog,dog_3,17,0.9326666666666666,6.0
17364,B000JL0TCY,"Meow Mints, Breath Mints for Cats, 1.25-Ounce Packages (Pack of 12)","Meow Mints, Breath Mints for Cats, 1.25-Ounce Packages",cat,cat_4,42,0.64395,2.0
17486,B000JRUHAW,New 4 Wheel Deluxe Pet Stroller Pink,four wheel stroller goes anywhere and features push-button <br> folding for flat storage. Extras like cup...,other,other_2,42,0.7928999999999999,2.0
17545,B000K2JP90,Vibrant Pets Frisky Feline Cat Supplement |All in One Feline Immune Support &amp; Protection for ...,"Vibrant Pets Frisky Feline Cat Supplement | 100% Guaranteed <br> Quality, Natural Supplement If you reall...",cat,cat_6,14,0.91044,5.0
17602,B000K9R93C,Memorial Candle,"This lovely pet memorial candle offers a unique gift for pet <br> sympathy.  After candle has burned, the...",other,other_2,27,0.9677,2.0
17645,B000KB0THI,"Stazko Pet Ear Cleaner, 8-Ounce","Protect pet ears with Stazko Ear Cleaner. This gentle cleaner <br> works to soothe, clean and deodorize e...",other,other_5,6,0.7323,4.0
17668,B000KEQN02,"Greenies Treats for Dogs Monster Treat-Pak 107 Teenie, 30 Ounce",Greenies Teenie&#8482; dogs 5-15lbs/2-7kg. One Greenie dental <br> chew each day helps conrol plaque and ...,dog,dog_2,42,0.5998142857142856,7.0
17706,B000KID0W2,"For Bare Feet Dog Breed Yellow Labrador Retriever Roll Down Socks (White), Medium","- Thin, flat knit, lightweight sock' - 75% Sensura polyester to <br> wick away perspiration - 25% stretch...",other,other_6,29,0.8606666666666666,3.0
17734,B000KK0DYS,TORRIX Cats Flea and Tick Collar  8-Month Flea Prevention Cat Collar  Adjustable and Waterproof Cat ...,",Torrix pet collar is an excellent tick repellent method <br> recommended by veterinarians. The length al...",cat,cat_1,12,0.5382,4.0
17739,B000KK2CSS,Vo-Toys Catnip Fuzzies Plush Cat Toy 2 pack,Small 2 in by 2 in flat ball made of soft plush material in <br> assorted colors.  Filled with catnip. Ea...,cat,cat_3,9,0.8531,2.0
17835,B000L4T5L0,Cat Door Bell,Help your cat notify you when they want to go outside with our <br> Cat Door Bell. This is a convenient a...,cat,cat_3,6,0.6020333333333333,3.0
17940,B000LO2G52,"Apex Tool Group Drake Off Road Tools, D412Ch1 Mustad Horseshoe Nail","Drake off road tools slimmer, sleeker shank drives easier and <br> safer. Reinforced, tapered head fits p...",farm animals,farm animals_0,44,0.4323625,8.0
17964,B000LQ4JO6,"&quot;Best In Show&quot; Hexagon Training Collar, Show Collar Gold Plated, 24-Inch",Everything has to be perfect in the show ring. That's why <br> Coastal offers 4 styles of superior qualit...,dog,dog_5,13,0.6133857142857143,7.0
18041,B000LXXW7Y,Orlux Versele-Laga Orlux Insect Patee Aviary Bird Complete Food 800G 800G,Orlux Versele-Laga Orlux Insect Patee Aviary Bird Complete Food <br> 800G 800G,bird,bird_0,40,0.2390333333333333,6.0
18080,B000M1B50Q,Zanies Realistic Mice Cat Toys - Hours of Fun - Set of 6,Realistic Colors  Hours of Fun and Exercise  Healthy Outlet for <br> Cat's hunting instinct  Mice have fe...,cat,cat_6,30,0.6357,11.0
18084,B000M27JNM,"Omega Paw RA20 Self-Cleaning Litter Box, Large, Green and Tan",nan,cat,cat_6,47,0.6294571428571428,7.0
18093,B000M2VBAO,"ASPEN PET PRODUCTS 15506 Nylon Adjustable Dog Collar, 5/8 by 18-Inch, Red","Petmates Basic Nylon Collars were created with high quality, <br> long lasting nylon. Choose an adjustabl...",other,other_4,27,0.7307,3.0
18146,B000M5VUX4,Meow Mix Tartar Control Drumsticks Cat Treats (4.25-oz pouch),Meow Mix Tartar Control Drumsticks Cat treats with Real Chicken <br> & Turkey!  Meow Mix knows how import...,cat,cat_6,4,0.8453666666666667,3.0
18151,B000M5XZVY,Meow Mix Chicken &amp; Liver - 24X2.75Oz,",Meow Mix Market Selects,Tender cuts of seafood, chicken and <br> beef are just some of the great ...",cat,cat_5,50,0.5704899999999999,10.0
18224,B000MCXY5O,Simple Solution Cat Bathing Wipes - Allergy &amp; Shed Relief,STOP WONDERING IF YOU REMEMBERED THEIR DROPS  Many forms of pest <br> control are effective and safe  One...,cat,cat_2,28,0.5304,4.0
18308,B000MD6K4U,"Super Pet Lava Dots Chew Treats for Chinchillas, Rabbits, Hamsters &amp; Gerbils (2 pack)","Product Highlight(s): Super Pet Lava Dots Chew Treats for <br> Chinchillas, Rabbits, Hamsters & Gerbils (...",other,other_2,28,0.94585,2.0
18511,B000MTK086,"Automatic Cat Feeder Combo CSF-3XL 1.8 Gal. With Analog timer, Stand and Bowl",nan,cat,cat_4,30,0.7398583333333333,48.0
18533,B000MUK8DW,Petzip-Urban Vogue Pet Stroller,The PetZip Urban Voyager Pet Stroller has been designed for both <br> you and your pet's comfort. Feature...,cat,cat_2,4,0.7263000000000002,8.0
18549,B000MVVID0,Cat Flea Comb Stainless Steel Teeth with Plastic Handle,nan,cat,cat_6,20,0.6942400000000001,15.0
18552,B000MW1E74,Pyrex Accents 2.5-qt. Teardrop Mixing Bowl,"Pyrex Griprite, 2.5 QT, Teardrop, Glass Mixing Bowl, Silicone <br> Handles & Base.",cat,cat_6,1,0.6910250000000001,8.0
18635,B000N38HCM,Cosmic Pet Products Alpine Scratcher Refill,"The replacement scratch pads, made for the Cosmic Alpine <br> scratcher , they come with a 1&#047;2 oz po...",cat,cat_5,35,0.8867499999999999,2.0
18659,B000N3CAS4,"Current Usa ACU02020 SunPaq Dual Actinic 420nm/460nm Bulb with 10Q Square Pin, 32-watt",Current USA SunPaq dual actinic 32-watt bulb is handcrafted with <br> the best components and phosphors a...,other,other_1,40,0.65645,2.0
18730,B000N5XCX4,Merrick Southern Delight Cat Food 5.5 Oz (24 Count Case),"Southern Delight 5.5-ounce(24 count case): An entree with <br> Chicken,Catfish, and Crawfish. Meat is #1 ...",cat,cat_1,37,0.8668,2.0
18776,B000N8EZC8,High Country Plastics Three Tier Saddle Rack,Store up to three saddles with the High Country Plastics Three <br> Tier Saddle Rack. The powder-coated f...,other,other_2,33,0.7331000000000001,2.0
18842,B000NE2W6I,John Paul Pet Super Bright Shampoo 475ml,This extraordinary formula has been developed for light coloured <br> coats. It helps control matting  ta...,dog,dog_3,9,0.8500375000000001,8.0
18860,B000NGQJ0G,"INCO NCO Bark Collar [2019 Upgraded] No Prongs, No Shock &amp; No Harm - Only Sound &amp; Vibration ...",",Is your dog super noisy and barks all the time on every sound? <br> But you love your dog and would neve...",other,other_1,16,0.2981,3.0
18904,B000NHXEXA,Magic Focus Big Eyes Mirror - Mf201 Compact Model,"Magic Focus big eyes mirrors. 

Super Vision WITHOUT <br> GLASSES.

NOT YOUR ORDINARY MAGNIFYING MIRROR

...",other,other_6,1,0.7945249999999999,8.0
18932,B000NJKHI8,Aspen Pets Comfort Cushion Dog Leash,Product description,other,other_1,32,0.78955,2.0
18966,B000NMF7FI,Brussel's Japanese Black Pine Bonsai,"This tree is the most popular pine used for bonsai, in part <br> because it exhibits attractive rough bar...",other,other_4,35,0.8927499999999999,2.0
19008,B000NQ106E,Murine Eye Drops For Allergy Eye Relief - 0.33 Oz 1 Ea,"Provides safe, effective relief from dry, itchy, watery eyes <br> associated with allergies. Gentle enoug...",other,other_5,35,0.35985,2.0
19022,B000NRYX94,FOUR FLAGS MUZZLE PUG NOSE - SMALL,FOUR FLAGS MUZZLE MUZZLE PUG NOSE - SMALL WEIGHT 5-12 POUNDS <br> Four Flags Over Aspen. Hand made for qu...,cat,cat_2,43,0.4226,3.0
19070,B000NV87TC,Dander Free for Dogs &amp; Cats - 8 oz,Older animals produce more dander than young ones because their <br> skin is drier. Animal dander is extr...,cat,cat_1,29,0.95805,2.0
19127,B000NVDCL0,Best Shot Lemon-Aid Pet Shampoo 1 Gallon,Best Shot Lemon-Aid Pet Shampoo Grooming pros know: for <br> sensitive skin and problems with dry skin or...,dog,dog_4,24,0.6307400000000001,5.0
19150,B000NX7SKO,MFR BACKORDER 071615 Omegaderm EZ Dose Packets Under 20 lbs. (28 packets of 4 ml),Allerderm Omegaderm is a potent nutritional supplement providing <br> the best essential fatty acids (EFA...,cat,cat_5,3,0.6672428571428571,7.0
19163,B000NY5HV0,"SportDOG Add-A-Dog Camo Field Trainer, SDR-FC",Add-A-Dog Receiver Camo (SportDog),cat,cat_4,3,0.5029399999999999,5.0
19264,B000O3BI04,General Cage-Tri Plex Fun Center Cat Furniture,The Whisker World Tri-Plex Fun Center Cat Furniture is three <br> stories of fun for your cat(s). Comes w...,cat,cat_5,38,0.94825,2.0
19282,B000O3BCAU,Iams Savory Sauce - Adult Dog Pot Roast,Iams Savory Sauce is a healthy way to top dry dog food for <br> mealtime variety. When poured over a high...,dog,dog_5,41,0.8739750000000001,4.0
19362,B000O5DI5A,"Greenies Pill Pockets Soft Dog Treats, Chicken, Tablet, 3.2 Oz. (Pack Of 6)","Pets are smart about avoiding their meds, but you're smarter. <br> Designed and recommended by vets, GREE...",dog,dog_2,24,0.5791333333333335,9.0
19368,B000O5DS1Y,Pet Gear JEEP Wrangles Pet Stroller,nan,cat,cat_2,30,0.9696333333333332,3.0
19457,B000O5I4WC,"DISCONTINUED - Puppy Training Pads, SIZES: 30 PAD PACK",nan,other,other_5,42,0.76995,2.0
19465,B000O5I72O,Virbac Proanthozone 10mg for Cats and Small Dogs 60 Caps,Antifree radical product that helps maintain healthy cells <br> throughout the life of your pet. Contains...,cat,cat_2,27,0.767975,4.0
19480,B000O5JWR8,Cholodin Feline (50 tablets),"A new dietary supplement designed specifically for cats, <br> Cholodin FEL, offers the same dependable pe...",cat,cat_4,18,0.7508545454545454,11.0
19516,B000O5KAN8,Virbac for Med/Large Dogs (60 tablets),ProMotion is a palatable nutrient and antioxidant supplement for <br> joint maintenance in dogs. Each tab...,other,other_6,33,0.4611333333333333,3.0
19597,B000OBBFM2,"Richell Patico Cat Dish, Small, Tan Marble",The Patico line has the look of luxury. The faux marble-looking <br> Patico cat dish is practical and yet...,cat,cat_5,37,0.7484999999999999,2.0
19666,B000OC49W4,Merrick 5 Star Entrees Gourmet Lunch Box Variety Pack - 8 x 13.2 oz,",The comforts of home are the things that we all love including <br> our canine companions",dog,dog_2,25,0.7804,8.0
19687,B000OCP8LU,Cosequin Equine OPTIMIZED (800 grams),""",Contains higher levels of active ingredients.,Size800 <br> GRAM,Color,BCI - 070055",cat,cat_6,3,0.6819,4.0
19747,B000OH576G,"Professional Dry Food For Adult Cats, Complete Formula, Chicken Flavor, 18 Pound Bag",Professional Adult Cat Complete Formula Dry Cat Food is a <br> complete Health System that provides your ...,cat,cat_5,7,0.50448,5.0
19771,B000OLWUNU,Small Animal Nursing Kit For Kittens,My Mammy nursing kit developed by breeders and veterinarians for <br> raising small petsNursing bottle 57...,cat,cat_3,13,0.6876,2.0
19822,B000OOC01Y,"Vita Flex Pure Lysine, 151 Day Supply, 4 lbs","Vita Flex Pure Lysine Horse Supplement product is a <br> super-concentrated source of L-Lysine HCI, an es...",farm animals,farm animals_0,5,0.53468125,16.0
19858,B000OQOT02,T.S. Shure Chunky World My Favorite Pets Puzzle &amp; Book,The hands-on Chunky World My Favorite Pets Puzzle &amp; Book set <br> is perfect for early-learners. The ...,other,other_4,4,0.7668499999999999,6.0
19875,B000OQSZ70,Fat Cat Okeydokey Pokey Balls Assorted,Our products are stamped with &quot;Absolutely Tested on <br> Animals&quot; &#040;in our case that&#039;s...,cat,cat_1,17,0.771175,4.0
19930,B000OQPX66,Marineland (Aquaria) Impeller Assembly Pcml160,Marineland IMPELLER ASSEMBLY PCML160Replacement Parts for <br> Marineland Power Filters,other,other_4,21,0.3746333333333333,3.0
19963,B000OSIJFQ,Molly and Friends Three-Tier Scratching Post Furniture,This is the best cat furniture. Large beds and rest areas allow <br> big kitties (or multiple ones) to lo...,cat,cat_4,28,0.7664888324873097,197.0
19996,B000OSNYXI,Molly and Friends Sequoia 86 in. Cat Tree,This is the best cat furniture. Large beds and rest areas allow <br> big kitties (or multiple ones) to lo...,cat,cat_2,1,0.8324733333333333,15.0
20002,B000OSNY2Y,Molly and Friends Tall Sisal Scratching Post,Molly and Friends Cat Furniture Company makes some of the best <br> posts. Our extra large carpet and sis...,cat,cat_6,49,0.5026172413793103,29.0
20016,B000OUX00I,Enforcer Bugmax 365 Pest Control,Enforcer Bugmax 365 Pest Control Kills On Contact Odorless <br> Non-staining Deltamethrin Formula Control...,other,other_5,23,-0.2447,2.0
20070,B000OX2GX2,Hartz Battabout Cat Toy with Catnip,These fanciful batting toys are the perfect size for high-speed <br> pouncing and chasing. Each character...,cat,cat_5,46,0.7063833333333335,6.0
20149,B000P0MUCG,Shining Stars Monkey,"Get a cute plush toy that's a real ""star!"",Give a Shining Star <br> to your shining Star.The Shining Star...",cat,cat_3,35,0.8072277777777778,18.0
20187,B000P3WSOS,Wingspan Green Seed Wall Storage - 15 Quarts,Bird Seed Storage and Dispenser No more struggling with birdfood <br> bags! No more spills on your porch ...,other,other_2,34,0.88075,2.0
20212,B000P695M8,"Eco Labs MLLFGMD Fruits and Greens Koi and Goldfish Food, 2-Pound",Supplemental food for feeding 4 days per week. Will not cloud <br> water. Contains stabilized Vitamin C. ...,fish,fish_0,49,0.443875,8.0
20224,B000P6TCUI,PACK Feed + Toss Cat Bowl Disposable Liner for CATS - 12 oz,The excessive barking of your pet is a big problem for you and <br> you tired of using non-effective bark...,cat,cat_2,12,0.7013,5.0
20270,B000P8UEN0,Rainbow Water Prism - Small Diamond Rainbow Maker - Glass Crystal Suncatcher,Rainbow Water Prism is meticulously handcrafted in the United <br> States from crystal clear glass. Fill ...,cat,cat_2,5,0.7491750000000001,8.0
20343,B000PD9B4I,"PetEdge Miracool Dog Mat, Small, 18-Inch, Cowboy Blue",This unique mat helps keep dog cool on hot summer days. <br> Water-activated crystals keep mat cool for d...,cat,cat_1,41,0.7294,2.0
20362,B000PF5DKM,Milemont ProClear Aquatics Sponge Foam Block for Premier 175 Size: 12 in x 4 in x 2.25in,ProClear Aquatics Sponge Foam Block for Premier 175 Approximate <br> Size 12 in x 4 in x 2.25in. 15PPI Po...,rabbits and rodents,rabbits and rodents_0,31,0.6268699999999999,10.0
20374,B000PGQ2N8,Tuxedo Bow Tie Cat Kitten Collar - Size Medium/Large,"Brown Dog Treasures introduces Meow-WearTM, a brand new line of <br> apparel and accessories for those fa...",cat,cat_2,38,0.4281,3.0
20382,B000PHQ0B6,HomeTeam Pets Race Car Pet Bed,The ultimate in sports fan pet gear. This house was designed to <br> bring out the envy in any sports fan...,cat,cat_2,2,0.8377066666666668,15.0
20402,B000PIERJW,The Goodlife Recipe Cat Treat Salmon/ Shrimp,The Goodlife Recipe Cat Treat The Goodlife Recipe Wholesome <br> Delights Cat Treats are crunchy and crea...,cat,cat_6,11,0.2365,2.0
20403,B000PIHXDY,ZiwiPeak Good-Cat - Venison Real Meat Jerky - 3 oz,",ZiwiPeak - Good-Cat Treats,ZiwiPeak ingredients are <br> ranch-raised (free of antibiotics and ho...",cat,cat_1,19,0.8498333333333333,3.0
20404,B000PIHXWA,"Mars Pet Care The Goodlife Recipe Food For Cats With Real Chicken, Brown Rice &amp; Garden Greens","The Goodlife Recipe Food for Cats Indoor Cat Recipe, with real <br> chicken, is specially crafted for you...",cat,cat_1,38,0.6921,2.0
20429,B000PKK226,Our Pets Play-N-Squeak - Robin,"Millions of OurPet's Play-N-Squeak products have been sold <br> because they provide realistic sound, fee...",cat,cat_6,24,0.8075000000000001,3.0
20447,B000PKSW5A,"Precious Cat Dr. Elsey's Kitten Attract Scoopable Cat Litter, 20 lbs.","Multi Kitten formulia, the first and only litter specifically <br> designed to train kitten's to use the ...",cat,cat_4,35,0.5120916666666665,120.0
20492,B000PU1KUY,"Purina O.N.E. Special Formula for Adult Cats, Chicken &amp; Rice , 7 lbs","We use real chicken, brewers rice and other high quality <br> ingredients in Purina O.N.E. Special Formul...",cat,cat_2,29,0.600225,4.0
20498,B000PUHXLO,Ideal Pet Products SPF 4 Way Locking Cat Flap,"Pet doors have come a long way since Home Alone, and the Ideal <br> Pet Products SPF 4 Way Locking Cat Fl...",cat,cat_4,31,0.5082399999999999,5.0
20596,B000Q98CS2,Friskies Shredded with Ocean Whitefish and Tuna in Sauce Canned Cat Food (24/5.5-oz cans),"Friskies Savory Shreds with Ocean White Fish and Tuna Canned Cat <br> Food is a premium, canned cat food ...",cat,cat_5,29,0.4757,2.0
20743,B000QFU63K,Ethical Glitter Angel Fish Wand with Catnip Cat Toy,"Under the sea glitter angel fish wand with catnip cat toy, a <br> great interactive toy for you and your ...",cat,cat_3,7,0.29655,2.0
20821,B000QRDOVE,At Play Marty Mouse Cat Toy,82187  Features: -Cat toy.-Marty Mouse design.-Provide hours of <br> entertainment for your favorite feli...,cat,cat_1,7,0.72228,5.0
20894,B000QSN0XU,CollarDirect Adjustable Dog Collar Colorful Waterproof Pet Collars for Small Medium Large Dogs ...,"Petmate's Signature series collars utilizes high quality nylon, <br> durable metal hardware. These collar...",cat,cat_1,16,0.744225,4.0
20927,B000QSOZQ6,Play Paw,The Play Paw is a fun and interactive way for you to get into <br> the good times with your cat. It is a ...,cat,cat_1,32,0.93335,2.0
20960,B000QST73M,Purina Cat Food Chicken 5.5 Oz Can,PURINA FRISKIES PRIME FILETS CAT FOOD 5.5 oz. can. <...,cat,cat_3,8,-0.1765499999999999,2.0
20978,B000R0F9AO,Cable Yoyo Cable Management - 1 Pack - Black,"Train Your Dog from Barking, Walking, Leash Training, Sitting, <br> Aggression, and Other Behavioral Obed...",cat,cat_1,31,0.8729,2.0
21009,B000R4H3XG,"Friskies Mixed Grill, Ocean Whitefish And Tuna Dinner And Turkey And Giblets Dinner Loaf Variety ...","Chicken, beef and pork flavors. We've rounded up 3 hearty <br> flavors for a downhome delight that's down...",cat,cat_6,5,0.3761333333333334,3.0
21039,B000R93TL6,The Adicts - Logo with Face - Screenprinted Sew On or Pin On Cloth Patch,"Affix this patch (by sewing or pinning) to your favorite pair of <br> jeans, hoodie, backpack, bag, jacke...",other,other_3,3,0.6890666666666667,6.0
21059,B000RAS802,"Hachi Dog Vest Harness with Handle &ndash; Classic Black No Pull &ndash; Gentle, Safer &amp; ...",Enjoy stress-free walks with your pooch everyday using our <br> no-pull dog harness that harmlessly pr...,other,other_6,12,0.7567250000000001,4.0
21091,B000RGHIA2,Zanies Holiday Stocking with Mice,"A holiday gift for cats: six mouse toys infused with catnip, <br> bundled in a colorful holiday stocking....",cat,cat_3,11,0.95325,2.0
21140,B000RI3N18,Denosyl 6 Pack for dogs over 35 lbs (180 tablets) 425 mg,Denosyl is a nutritional supplement that helps minimize a <br> variety of liver problems in dogs and cats...,other,other_4,49,0.8654,2.0
21145,B000RI3ZNE,Sebolux Medicated Shampoo (8oz) by VIRBAC,Sebolux Medicated Shampoo (8oz) by VIRBACBrand New and <br> Guaranteed for 3 MonthsSebolux Medicated Sham...,cat,cat_3,43,0.8600000000000001,4.0
21150,B000RI3NUE,Felo-Form (50 tablets),Felo-Formis a chewable dietary supplement with taurine and <br> potassium for cats. Calcium (min.) 6.8%-(...,cat,cat_4,37,0.69775,12.0
21179,B000RI64KK,GLYCOFLEX Stage 2 CHEWABLE 120 TABLETS for Hip and Joint Health,"GlycoFlex II contains Perna canaliculus, Glucosamine HCl, <br> Dimethylglycine, Methylsulfonylmethane, an...",dog,dog_5,36,0.5194799999999999,5.0
21208,B000RI88V8,Toxiban Suspension (240 mL),TOXIBAN Suspension is intended for use as an adsorbent of orally <br> ingested toxicants.Dosage and admin...,dog,dog_2,26,0.3350125,8.0
21215,B000RI8D0O,Greenies Dental Treats For Cats Salmon Flavor 3.0 oz,NEW Feline Greenies is scientifically formulated and clinically <br> proven to mechanically reduce tartar...,cat,cat_6,29,0.5262777777777777,9.0
21220,B000RIA9CE,"Synovi-Feline Granules, 240 Gram Container",Synovi-Feline is a complete feline wellness supplement specially <br> designed for the nutritional needs ...,cat,cat_4,13,0.8884,2.0
21267,B000RLCHI0,Flipo PETBEDFZ-S-LM Small Pet Bed - Lime Fuzzy,nan,cat,cat_4,7,0.6303,3.0
21280,B000RO33G2,"Stud Muffins 1045/1030 Stud Muffins Horse Treat, 45 Oz",Approximately 40 treats. Hand made. Fortified with Extra protein <br> and flax seed insuring they are as ...,farm animals,farm animals_0,35,0.6862777777777777,9.0
21283,B000RODAR4,"Friskies Cat Food Gourmet Poultry Flavors, 6.3 lb",Product of nestle purina petcare. Good quality product. <br> Manufactured in United States. Product of ne...,cat,cat_1,50,0.6649,2.0
21328,B000RPU1SY,"Purina O.N.E. Cat Food Adult Total Nutrition Salmon &amp; Tuna, 3.5 lb",Purina One Purposeful Nutrition Salmon & Tuna Flavor Premium Cat <br> Food For Adult .Veterinarian re...,cat,cat_4,44,0.7577,2.0
21360,B000RXWXQ4,"Mark &amp; Chappell Nurish-UM Paste for Cats, 2.4-Ounce","Mark & Chappell Nurish -UM Paste for Cats is a high calorie, <br> tasty and nutritional supplement provid...",cat,cat_3,1,0.8706285714285714,7.0
21379,B000RYDMKO,"Friskies Cat Food Turkey &amp; Giblets Dinner, 5.5 oz",Purina Friskies Special Diet Turkey & Giblets Dinner Classic <br> Pate Cat Food.Helps maintain urinar...,cat,cat_2,46,0.2758,3.0
21382,B000RYFJRI,Fancy Feast Chunky Chicken Feast Cat Food 3 oz (Pack of 24),"Fancy Feast.Chicken feast chunky.100% complete & <br> balanced.Gourmet cat food.,Chicken Brot...",cat,cat_1,49,0.8212999999999999,2.0
21448,B000S83IGM,Pnv Daily Best Dog Tabs 60ct, Pet Naturals of Vermont Daily Best Multivitamin For Dogs and <br> Puppies Chicken Liver Descriptio...,other,other_5,30,0.92855,2.0
21471,B000S9IBRC,Swing Design Frame Easel Walnut Mini 2x2,"The simple, yet elegant Easel frames display your photos like <br> works of art. A removable, brushed alu...",other,other_2,5,0.6335599999999999,5.0
21661,B000T5N80A,"Organix Adult and Kitten Dry Feline Formula Cat Food, 3-Pound Bags",Organix Adult and Kitten Feline Formula Dry Cat Food 3 lb Bag,cat,cat_5,27,0.1343999999999999,2.0
21699,B000TA6ONI,PawProof Designer Pet Bowls University Collection,"Designer patterned plastic pet bowl, with innotative dual-layer <br> structure to prevent the graphics fr...",cat,cat_2,21,0.5497000000000001,4.0
21704,B000TAEGLU,SONY KDL40XBR5 40&quot; 1080P BRAVIA ENG PRO HIFRM,The KDL40XBR5 Bravia LCD flat-panel HD television incorporates <br> all of Sony's latest technologies to ...,rabbits and rodents,rabbits and rodents_0,41,0.8453499999999998,8.0
21746,B000TFDO5O,Shaved Bonito Flakes Cat Fish Treat - 6 pack,These flakes are the absolute best kitty treat ever. This is a <br> taste treat sensation that drives cat...,cat,cat_4,15,0.6325000000000001,2.0
21794,B000TMPRIO,PetAlive Natural Moves for Pets and Digestive Support ComboPack,The PetAlive ComboPack of Natural Moves and Digestive Support <br> consists of multiple remedies that wor...,cat,cat_1,36,-0.3463,2.0
22028,B000U0MQCA,Planet Pleasures 4 Ring Chain 17&quot; Small Bird Toy,Planet Pleasures Parrot Piata 4-Ring Toy It's parrot party time <br> with our fun to chew Parrot Piata 4-...,bird,bird_0,2,0.6659928571428573,14.0
22056,B000UBEWSU,Ornaments To Remember Poncho Hand-Blown Glass Ornament,"When an evening on the Mexican coast turns cool, put on a Poncho <br> and keep the fiesta going. The Ponc...",other,other_5,14,0.8199666666666667,3.0
22065,B000UCS1C2,Pup Shalom Pet Costume,This adorable Pup Shalom Pet Costume celebrates your pup <br> becoming a dog and is perfect for Halloween...,other,other_1,39,0.8573500000000001,2.0
22077,B000UE9REG,Oster-Sunbeam #2331 Blade For Adjusta-Groom Clipper,Oster-Sunbeam #2331 Blade For Adjusta-Groom Clipper,dog,dog_1,25,0.6490374999999999,8.0
22170,B000UJUWAO,"Lambert Kay Fresh 'N Clean Oxy-Strength Cat Odor and Stain Eliminator with Trigger Sprayer, 32-Ounce","Lambert Kay Fresh 'n Clean Oxy-Strength Cat Odor and Stain <br> Eliminator with Trigger Sprayer, 32 Ounce...",cat,cat_4,17,0.6029350000000001,20.0
22184,B000UJXIQE,"Dave'S Pet Food Natural Health Cat Food, 8 Lb",Dave's Naturally Healthy Adult Cat is designed to provide a <br> healthy and balanced nutrition. It's mad...,cat,cat_1,48,0.873,2.0
22267,B000USKMX2,Evercare Pet Hair Roller Adhesive Refill,PET HAIR PICKUP REFILL,cat,cat_1,46,0.77395,2.0
22276,B000USPSDG,Fat Cat Kitty Hoots - Eeks! - Fat Cat Toys,"KITTY HOOTS - EEKS! - FAT CAT TOYS,,",cat,cat_5,19,0.4952333333333334,3.0
22422,B000V9CLHA,Zanies Halloween Witch Cat Hats | Cat Clothes,Distinctive cat personalities deserve a little attention! Our <br> Zanies? Witch Hat magically transforms...,cat,cat_4,21,0.6731,4.0
22453,B000VAQ2DI,"Soft Claws for Cats, Size Large, Color Holiday (Red &amp; Green)","Soft Claws Nail Caps for Cats and Kittens are a safe, effective <br> and humane alternative to declawing!...",cat,cat_6,6,0.56735,2.0
22514,B000VCKTN0,KITTEN CATFOOD IAMS 3.2# by IAMS MfrPartNo 111249,Iams ProActive Health Kitten Dry Cat Food.The first 12 months of <br> life are important in your kitten&#...,cat,cat_5,10,0.5787,4.0
